#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","AB1","SAMN15746320","PRJNA595705","GCA_014218985.1","Contig",3.86024,39.1,,"JACLCQ01",2,3480,"2020-08-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/218/985/GCA_014218985.1_ASM1421898v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/218/985/GCF_014218985.1_ASM1421898v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","TG31307","SAMN10261616","PRJNA497581","GCA_003948305.2","Contig",4.126,39.2027,"plasmid pTG31307:NZ_CM016516.1/CM016516.1","RFBA02",7,3782,"2018-12-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/948/305/GCA_003948305.2_ASM394830v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/948/305/GCF_003948305.2_ASM394830v2"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0036","SAMN04014877","PRJNA292904","GCA_001874685.1","Contig",4.10228,39,,"MPBY01",7,3758,"2016-11-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/874/685/GCA_001874685.1_ASM187468v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/874/685/GCF_001874685.1_ASM187468v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0035","SAMN04014876","PRJNA292904","GCA_001874915.1","Contig",4.13875,39.1,,"MPBZ01",5,3807,"2016-11-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/874/915/GCA_001874915.1_ASM187491v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/874/915/GCF_001874915.1_ASM187491v1"
"Acinetobacter baumannii Canada BC-5","Bacteria;Proteobacteria;Gammaproteobacteria","Canada BC-5","SAMN02436468","PRJNA53389","GCA_000286615.1","Contig",3.99802,39.1895,"plasmid pCanadaBC5-8.7:NZ_AFDN01000003.1/AFDN01000003.1","AFDN01",3,3677,"2012-08-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/286/615/GCA_000286615.1_gacin07v1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/286/615/GCF_000286615.1_gacin07v1.0"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0037","SAMN04014878","PRJNA292904","GCA_001874765.1","Contig",4.06979,39,,"MPBX01",26,3686,"2016-11-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/874/765/GCA_001874765.1_ASM187476v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/874/765/GCF_001874765.1_ASM187476v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","MAR002","SAMN03066975","PRJNA260883","GCA_000759395.1","Contig",3.71793,39.1,,"JRHB01",2,3311,"2014-09-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/759/395/GCA_000759395.1_ASM75939v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/759/395/GCF_000759395.1_ASM75939v1"
"Acinetobacter baumannii OIFC143","Bacteria;Proteobacteria;Gammaproteobacteria","OIFC143","SAMN02436631","PRJNA53385","GCA_000278665.1","Contig",4.44133,39.1192,"plasmid pOIFC143-128:NZ_AFDL01000008.1/AFDL01000008.1; plasmid pOIFC143-2.3:NZ_AFDL01000005.1/AFDL01000005.1; plasmid pOIFC143-6.2:NZ_AFDL01000007.1/AFDL01000007.1; plasmid pOIFC143-70:NZ_AFDL01000006.1/AFDL01000006.1","AFDL01",8,4118,"2012-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/278/665/GCA_000278665.1_AcbauOIFC143v1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/278/665/GCF_000278665.1_AcbauOIFC143v1.0"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","SP1917","SAMN03771474","PRJNA286875","GCA_001077575.1","Contig",4.4849,39,,"LFYW01",10,4116,"2015-07-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/077/575/GCA_001077575.1_ASM107757v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/077/575/GCF_001077575.1_ASM107757v1"
"Acinetobacter baumannii Naval-81","Bacteria;Proteobacteria;Gammaproteobacteria","Naval-81","SAMN00114928","PRJNA53395","GCA_000214985.2","Contig",4.08087,38.9676,"plasmid pNaval81-13:NZ_AFDB02000005.1/AFDB02000005.1; plasmid pNaval81-26:NZ_AFDB02000003.1/AFDB02000003.1; plasmid pNaval81-67:NZ_AFDB02000004.1/AFDB02000004.1","AFDB02",5,3705,"2011-05-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/985/GCA_000214985.2_gacin10v1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/985/GCF_000214985.1_gacin10v1.0"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC13304","SAMEA103924400","PRJEB6403","GCA_900444715.1","Contig",4.14086,39.1,,"UFRO01",6,3849,"2018-08-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/444/715/GCA_900444715.1_53990_B01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/444/715/GCF_900444715.1_53990_B01"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0033","SAMN04014874","PRJNA292904","GCA_001874885.1","Contig",4.09754,39,,"MPCA01",20,3741,"2016-11-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/874/885/GCA_001874885.1_ASM187488v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/874/885/GCF_001874885.1_ASM187488v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","WA2859","SAMN03222644","PRJNA268567","GCA_000951165.1","Contig",4.12886,38.9,,"JXOC01",22,3829,"2015-03-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/951/165/GCA_000951165.1_ASM95116v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/951/165/GCF_000951165.1_ASM95116v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","SSMA8","SAMN06650259","PRJNA380857","GCA_002237955.1","Scaffold",4.24388,39.1,,"NBNJ01",5,3889,"2017-08-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/237/955/GCA_002237955.1_ASM223795v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/237/955/GCF_002237955.1_ASM223795v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","K50","SAMEA104446226","PRJEB22063","GCA_900243925.1","Contig",3.79955,39,,"OHJL01",4,3441,"2018-02-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/243/925/GCA_900243925.1_K50","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/243/925/GCF_900243925.1_K50"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","4300STDY7045884","SAMEA104305383","PRJEB19226","GCA_900496585.1","Scaffold",3.82506,38.9,,"UFOM01",19,3487,"2018-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/496/585/GCA_900496585.1_24276_3_41","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/496/585/GCF_900496585.1_24276_3_41"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","4300STDY7045891","SAMEA104305367","PRJEB19226","GCA_900496765.1","Scaffold",3.82505,39,,"UFPE01",22,3487,"2018-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/496/765/GCA_900496765.1_24276_3_48","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/496/765/GCF_900496765.1_24276_3_48"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","4300STDY7045897","SAMEA104305390","PRJEB19226","GCA_900496725.1","Scaffold",3.8299,38.9,,"UFPA01",25,3496,"2018-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/496/725/GCA_900496725.1_24276_3_54","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/496/725/GCF_900496725.1_24276_3_54"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","ACM-1","SAMN08667448","PRJNA437535","GCA_003057525.1","Contig",3.73004,39,,"PXHY01",48,3415,"2018-04-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/057/525/GCA_003057525.1_ASM305752v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/057/525/GCF_003057525.1_ASM305752v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0045","SAMN04014886","PRJNA292904","GCA_001874945.1","Contig",4.09526,39.2,,"MPBW01",15,3713,"2016-11-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/874/945/GCA_001874945.1_ASM187494v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/874/945/GCF_001874945.1_ASM187494v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_1244","SAMN16357386","PRJNA231221","GCA_016888585.1","Contig",3.94306,39.0967,"plasmid unnamed:NZ_JAFEKL010000006.1/","JAFEKL01",6,3633,"2021-02-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/888/585/GCA_016888585.1_ASM1688858v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/888/585/GCF_016888585.1_ASM1688858v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","4300STDY7045779","SAMEA104305274","PRJEB19226","GCA_900495605.1","Contig",3.68439,38.9,,"UFKV01",34,3364,"2018-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/495/605/GCA_900495605.1_24276_2_244","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/495/605/GCF_900495605.1_24276_2_244"
"Acinetobacter baumannii UH10707","Bacteria;Proteobacteria;Gammaproteobacteria","UH10707","SAMN02597423","PRJNA227030","GCA_000516115.1","Contig",4.1562,39.2016,"plasmid pABUH5-114:NZ_AYOI01000002.1/AYOI01000002.1","AYOI01",9,3865,"2014-01-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/516/115/GCA_000516115.1_gabuh107pb_v01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/516/115/GCF_000516115.1_gabuh107pb_v01"
"Acinetobacter baumannii UH9907","Bacteria;Proteobacteria;Gammaproteobacteria","UH9907","SAMN02597375","PRJNA227028","GCA_000516095.2","Contig",4.34491,39.1062,"plasmid pABUH1-74:NZ_AYOH01000010.1/AYOH01000010.2","AYOH01",11,4046,"2014-01-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/516/095/GCA_000516095.2_gabuh99pb_v01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/516/095/GCF_000516095.1_gabuh99pb_v01"
"Acinetobacter baumannii OIFC189","Bacteria;Proteobacteria;Gammaproteobacteria","OIFC189","SAMN00114925","PRJNA53387","GCA_000278685.1","Contig",4.04312,39.2659,"plasmid pOIFC189-111:NZ_AFDM01000010.1/AFDM01000010.1","AFDM01",10,3729,"2012-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/278/685/GCA_000278685.1_AcbauOIFC189v1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/278/685/GCF_000278685.1_AcbauOIFC189v1.0"
"Acinetobacter baumannii Ab33333","Bacteria;Proteobacteria;Gammaproteobacteria","Ab33333","SAMN02596917","PRJNA157167","GCA_000297935.1","Scaffold",3.83503,39,,"AKAS01",11,3490,"2012-09-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/935/GCA_000297935.1_Acin_baum_Ab33333_V1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/297/935/GCF_000297935.1_Acin_baum_Ab33333_V1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","AB_353","SAMN10248957","PRJNA497126","GCA_003939565.1","Contig",3.78872,38.7,,"RHYH01",17,3480,"2018-12-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/939/565/GCA_003939565.1_ASM393956v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/939/565/GCF_003939565.1_ASM393956v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","PBIO721","SAMEA6574530","PRJEB36565","GCA_902807055.1","Contig",4.1286,38.6,,"CADCYS01",115,3761,"2020-02-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/807/055/GCA_902807055.1_PBIO721","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/807/055/GCF_902807055.1_PBIO721"
"Acinetobacter baumannii Naval-17","Bacteria;Proteobacteria;Gammaproteobacteria","Naval-17","SAMN02436551","PRJNA53391","GCA_000278605.1","Contig",4.00996,39.0937,"plasmid pNaval17-13:NZ_AFDO01000021.1/AFDO01000021.1","AFDO01",21,3713,"2012-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/278/605/GCA_000278605.1_gacin08v1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/278/605/GCF_000278605.1_gacin08v1.0"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","4300STDY7045892","SAMEA104305368","PRJEB19226","GCA_900496735.1","Scaffold",3.8296,38.9,,"UFPF01",28,3495,"2018-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/496/735/GCA_900496735.1_24276_3_49","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/496/735/GCF_900496735.1_24276_3_49"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","4300STDY7045686","SAMEA104305182","PRJEB19226","GCA_900494705.1","Scaffold",3.85539,38.9,,"UFHK01",14,3522,"2018-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/494/705/GCA_900494705.1_24276_2_152","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/494/705/GCF_900494705.1_24276_2_152"
"Acinetobacter baumannii NIPH 67","Bacteria;Proteobacteria;Gammaproteobacteria","NIPH 67","SAMN01828146","PRJNA183255","GCA_000369265.1","Scaffold",4.05075,38.9,,"APRA01",5,3629,"2013-04-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/369/265/GCA_000369265.1_Acin_baum_NIPH_67_V1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/369/265/GCF_000369265.1_Acin_baum_NIPH_67_V1"
"Acinetobacter baumannii NIPH 601","Bacteria;Proteobacteria;Gammaproteobacteria","NIPH 601","SAMN01828147","PRJNA183256","GCA_000369245.1","Scaffold",4.05965,39.1,,"APQZ01",10,3629,"2013-04-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/369/245/GCA_000369245.1_Acin_baum_NIPH_601_V1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/369/245/GCF_000369245.1_Acin_baum_NIPH_601_V1"
"Acinetobacter baumannii OIFC109","Bacteria;Proteobacteria;Gammaproteobacteria","OIFC109","SAMN02436409","PRJNA53383","GCA_000278645.1","Contig",4.10712,39.0016,"plasmid pOIFC109-122:NZ_ALAL01000013.1/ALAL01000013.1","ALAL01",13,3773,"2012-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/278/645/GCA_000278645.1_AcbauOIFC109v1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/278/645/GCF_000278645.1_AcbauOIFC109v1.0"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","MEX11594","SAMN04407353","PRJNA308740","GCA_001549575.1","Scaffold",3.7455,38.9873,"plasmid unnamed 1:NZ_CM003741.1/CM003741.1; plasmid unnamed 2:NZ_CM003742.1/CM003742.1","LQXZ01",12,3431,"2016-02-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/549/575/GCA_001549575.1_ASM154957v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/549/575/GCF_001549575.1_ASM154957v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","4300STDY7045700","SAMEA104305196","PRJEB19226","GCA_900494975.1","Scaffold",4.02447,38.9,,"UFIJ01",24,3697,"2018-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/494/975/GCA_900494975.1_24276_2_166","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/494/975/GCF_900494975.1_24276_2_166"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","DT-544B","SAMN13832248","PRJNA600848","GCA_016125655.1","Scaffold",3.95976,39.1,,"JAAAFZ01",41,3681,"2020-12-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/125/655/GCA_016125655.1_ASM1612565v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/125/655/GCF_016125655.1_ASM1612565v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","4300STDY7045771","SAMEA104305267","PRJEB19226","GCA_900495355.1","Scaffold",3.88655,38.8,,"UFJZ01",35,3580,"2018-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/495/355/GCA_900495355.1_24276_2_237","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/495/355/GCF_900495355.1_24276_2_237"
"Acinetobacter baumannii AB5075","Bacteria;Proteobacteria;Gammaproteobacteria","AB5075","SAMN02713669","PRJNA168474","GCA_000770605.1","Contig",3.99987,38.8896,"plasmid pAB5075:NZ_JHUI01000005.1/JHUI01000005.1","JHUI01",16,3754,"2014-10-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/770/605/GCA_000770605.1_gabab5075v1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/770/605/GCF_000770605.1_gabab5075v1.0"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","BR097","SAMN02803875","PRJNA248899","GCA_000708775.1","Contig",3.94465,38.9,,"JNFY01",12,3675,"2014-06-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/708/775/GCA_000708775.1_ASM70877v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/708/775/GCF_000708775.1_ASM70877v1"
"Acinetobacter baumannii 1295549","Bacteria;Proteobacteria;Gammaproteobacteria","1295549","SAMN02415052","PRJNA194846","GCA_000588135.1","Contig",3.91679,39.1,,"JFXB01",30,3574,"2014-03-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/588/135/GCA_000588135.1_ASM58813v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/588/135/GCF_000588135.1_ASM58813v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","4300STDY7045678","SAMEA104305174","PRJEB19226","GCA_900494435.1","Scaffold",3.86207,38.8,,"UFGP01",17,3536,"2018-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/494/435/GCA_900494435.1_24276_2_144","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/494/435/GCF_900494435.1_24276_2_144"
"Acinetobacter baumannii 397971","Bacteria;Proteobacteria;Gammaproteobacteria","397971","SAMN02385037","PRJNA194762","GCA_000582275.1","Contig",3.9508,39,,"JEYD01",44,3587,"2014-02-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/582/275/GCA_000582275.1_ASM58227v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/582/275/GCF_000582275.1_ASM58227v1"
"Acinetobacter baumannii 318814","Bacteria;Proteobacteria;Gammaproteobacteria","318814","SAMN02404532","PRJNA194783","GCA_000584355.1","Contig",4.12551,39,,"JFEQ01",41,3737,"2014-03-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/584/355/GCA_000584355.1_ASM58435v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/584/355/GCF_000584355.1_ASM58435v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","BU310","SAMN02803891","PRJNA248906","GCA_000708795.1","Contig",3.93352,38.9,,"JNFZ01",12,3642,"2014-06-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/708/795/GCA_000708795.1_ABU310","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/708/795/GCF_000708795.1_ABU310"
"Acinetobacter baumannii NIPH 1669","Bacteria;Proteobacteria;Gammaproteobacteria","NIPH 1669","SAMN01828181","PRJNA183321","GCA_000368105.1","Scaffold",3.88112,39.1,,"APOQ01",6,3526,"2013-04-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/368/105/GCA_000368105.1_Acin_baum_NIPH_1669_V1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/368/105/GCF_000368105.1_Acin_baum_NIPH_1669_V1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","C3T1-2","SAMN10784980","PRJNA516072","GCA_004152685.1","Contig",3.95515,38.8,,"SEUC01",19,3636,"2019-02-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/152/685/GCA_004152685.1_ASM415268v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/152/685/GCF_004152685.1_ASM415268v1"
"Acinetobacter baumannii NIPH 201","Bacteria;Proteobacteria;Gammaproteobacteria","NIPH 201","SAMN01828151","PRJNA183260","GCA_000369165.1","Scaffold",4.13459,38.9,,"APQV01",9,3773,"2013-04-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/369/165/GCA_000369165.1_Acin_baum_NIPH_201_V1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/369/165/GCF_000369165.1_Acin_baum_NIPH_201_V1"
"Acinetobacter baumannii NIPH 335","Bacteria;Proteobacteria;Gammaproteobacteria","NIPH 335","SAMN01828149","PRJNA183258","GCA_000369205.1","Scaffold",3.95696,39,,"APQX01",15,3628,"2013-04-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/369/205/GCA_000369205.1_Acin_baum_NIPH_335_V1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/369/205/GCF_000369205.1_Acin_baum_NIPH_335_V1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","4300STDY7045730","SAMEA104305226","PRJEB19226","GCA_900495205.1","Scaffold",3.77458,38.9,,"UFJF01",16,3465,"2018-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/495/205/GCA_900495205.1_24276_2_196","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/495/205/GCF_900495205.1_24276_2_196"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","A457","SAMN04521099","PRJNA313416","GCA_001648035.1","Scaffold",3.87481,38.9,,"LTCY01",14,3566,"2016-05-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/648/035/GCA_001648035.1_ASM164803v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/648/035/GCF_001648035.1_ASM164803v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","KPC-SM-125","SAMEA6242922","PRJEB35515","GCA_902705485.1","Contig",3.88961,38.7,,"CACSGU01",39,3583,"2020-01-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/705/485/GCA_902705485.1_ABKPCSM125","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/705/485/GCF_902705485.1_ABKPCSM125"
"Acinetobacter baumannii NIPH 528","Bacteria;Proteobacteria;Gammaproteobacteria","NIPH 528","SAMN01828145","PRJNA183254","GCA_000369285.1","Scaffold",3.87896,39.2,,"APRB01",7,3536,"2013-04-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/369/285/GCA_000369285.1_Acin_baum_NIPH_528_V1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/369/285/GCF_000369285.1_Acin_baum_NIPH_528_V1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","4300STDY7045724","SAMEA104305220","PRJEB19226","GCA_900495045.1","Scaffold",3.77606,38.9,,"UFIR01",16,3488,"2018-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/495/045/GCA_900495045.1_24276_2_190","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/495/045/GCF_900495045.1_24276_2_190"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","4300STDY7045766","SAMEA104305262","PRJEB19226","GCA_900495345.1","Scaffold",3.81839,38.9,,"UFKQ01",24,3519,"2018-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/495/345/GCA_900495345.1_24276_2_232","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/495/345/GCF_900495345.1_24276_2_232"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","4300STDY7045818","SAMEA104305313","PRJEB19226","GCA_900495975.1","Scaffold",3.79432,38.8,,"UFMF01",35,3502,"2018-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/495/975/GCA_900495975.1_24276_2_283","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/495/975/GCF_900495975.1_24276_2_283"
